427774	423786	379017	426212	385061	419793	384990	381164	428769	464796	427710	427239	424627	387228	519	467769	430893	422539	398547	386949	426653	740102	423701	520241	392925	422320	464538	435209	426870	390472	428255	387147	423537	408060	465067	463298	397227	381172	425022	406219	394272	408920	401930	420161	401759	465430	420686	418180	397199	115144
429253	494130	717268	427703	385835	454658	416807	383792	433048	467525	428902	434508	430471	423135	4475	471006	469515	427304	400408	423631	430844	741170	425079	522461	397996	427664	467386	467076	430956	393534	432392	421634	424827	419760	465896	464718	406977	383258	427214	409754	394345	469072	403861	420951	405873	466878	422543	418650	399651	383218
433946	504322	763668	434352	416494	481024	419220	386092	433923	468714	431465	460684	435534	444372	8390	472606	472990	428992	402313	424843	432294	742257	425504	524963	399066	428528	468475	470605	433635	395248	437693	424214	426084	421278	466720	469364	418645	391847	428759	673579	395701	470361	405537	421545	409556	467813	440350	419111	400842	397162
456851	511668	770057	435606	419263	486389	419708	387236	459279	469668	432294	463594	440596	462849	13369	474192	480810	429537	403653	425421	433931	743654	431831	529098	400532	434676	468822	472752	464501	396171	439433	426130	427139	422232	466770	470721	420443	392701	429358	674694	396936	526728	406847	421859	435857	469297	453456	419670	402629	400151
482658	552918	791275	436926	426098	487336	420662	387830	466194	470685	433287	466003	458552	477744	13834	476531	482491	430720	404918	431148	461415	745068	437578	532124	401761	435827	471222	474022	466355	396261	459375	426474	428711	422873	468070	475039	420757	393730	431658	681862	397339	532605	449640	422274	441461	471189	462397	420217	403608	401893
538753	596957	840596	440371	427380	489776	421120	389713	467334	472104	434161	467422	461291	481971	18601	477586	485891	432040	405635	432992	461981	747547	456559	533464	402029	437824	473160	474904	469483	398835	465647	428662	431246	423320	469035	479235	420898	395401	434400	749145	399560	644814	606883	424171	447941	471977	462987	421170	405279	423395
540809	600753	843372	465826	430601	505000	424272	390289	468652	473533	437734	468410	465094	485382	21798	485545	489077	433581	406841	439716	470345	800834	458294	538161	403931	460654	473893	477237	471443	403340	468383	437020	438174	423977	469601	484888	422039	396004	435797	815316	399938	705050	608926	424680	478885	472734	493406	423190	406163	427042
617730	634403	852617	473635	431439	507176	427396	391219	469065	474884	440317	469734	467824	491084	22120	490532	494668	434637	408607	457195	504970	801986	459159	549274	406985	472799	474499	478413	472132	404764	480195	457886	440386	425160	470441	489757	422115	397996	437304	821792	400182	2066351	654508	427810	492985	473721	497463	442996	407840	429642
622120	707146	1978459	479553	432488	509199	435625	392054	469870	477179	461167	470636	483130	510828	26467	501911	497679	436210	410009	459854	516206	804133	460443	558472	476045	477496	476788	479374	475944	448973	482230	466879	462684	425878	471094	633567	423134	398972	438534	825671	400995	2067649	669824	456073	547741	474533	501066	444402	408294	433512
626646	763178	2030080	486164	432671	511382	438290	392415	472469	479237	470565	472925	484719	514119	27631	508927	497912	457399	414088	462042	521572	805187	464405	560480	545797	517114	479588	481269	476610	610484	491052	519044	462804	426359	473348	638969	424335	403264	460399	883218	402797	2112782	673171	456531	553487	475510	504513	445329	409570	436522
